,Location,Status,Posting ID,Posting: Status,Posting: Program,Posting: Department,Submitted Date,Application: Created Date,APPID
110,NE,Withdrawn,277,Closed,AARP Foundation Finances 50+,Education,51:29.4,51:29.4,VOL-530
111,MI,Withdrawn,104,Closed,Money Smart for Adults,Financial Management,51:29.4,51:29.4,VOL-602
112,FL,Under Review,43,Active,Health and Wellness Throughout the Lifespan,Religious Services,51:29.4,51:29.4,VOL-1457
113,OK,Under Review,178,Closed,English-As-a-Second Language,Religious Services,51:29.4,51:29.4,VOL-4407
114,FL,Accepted,17,Closed,Narcotics Anonymous,FDC/Jail - Administration,51:29.4,51:29.4,VOL-632
115,OK,Submitted,81,Closed,Health and Wellness Throughout the Lifespan,Education,51:29.4,51:29.4,VOL-3919
116,TX,Submitted,192,Active,Hooked on Phonics,Recreation,51:29.4,51:29.4,VOL-9500
117,WA,Withdrawn,50,Closed,Threshold Program,Camp,51:29.4,51:29.4,VOL-154
118,NH,Accepted,16,Closed,K2 Awareness Program,Camp,51:29.4,51:29.4,VOL-6412
119,MA,Declined,154,Closed,Start Now,Financial Management,51:29.4,51:29.4,VOL-5749
120,FL,Submitted,111,Closed,Living a Healthy Life with Chronic Conditions,Camp,51:29.4,51:29.4,VOL-6323
121,TN,Declined,144,Closed,Living a Healthy Life with Chronic Conditions,Financial Management,51:29.4,51:29.4,VOL-5849
122,MO,Withdrawn,206,Active,Getting to Know your Healthy Aging Body,Administration,51:29.4,51:29.4,VOL-9231
123,DC,Under Review,47,Closed,Apprenticeship Training,Religious Services,51:29.4,51:29.4,VOL-3345
124,IN,Accepted,252,Closed,House of Healing: A Prisoner's Guide to Inner Power and Freedom,Administration,51:29.4,51:29.4,VOL-3025
125,MN,Submitted,18,Closed,Money Smart for Adults,Unit Management (UM),51:29.4,51:29.4,VOL-395
126,KS,Accepted,196,Active,Soldier On,Recreation,51:29.4,51:29.4,VOL-6813
127,TN,Withdrawn,166,Active,Hooked on Phonics,Camp,51:29.4,51:29.4,VOL-3185
128,GA,Withdrawn,83,Closed,Resilience Support,FDC/Jail - Administration,51:29.4,51:29.4,VOL-3045
129,DC,Accepted,31,Active,Getting to Know your Healthy Aging Body,Recreation,51:29.4,51:29.4,VOL-5811
130,IA,Accepted,155,Active,Health and Wellness Throughout the Lifespan,Religious Services,51:29.4,51:29.4,VOL-4944
131,MT,Under Review,38,Closed,Apprenticeship Training,Financial Management,51:29.4,51:29.4,VOL-9706
132,GA,Under Review,293,Closed,English-As-a-Second Language,Administration,51:29.4,51:29.4,VOL-6393
133,WY,Submitted,81,Closed,Apprenticeship Training,Health Services,51:29.4,51:29.4,VOL-6186
134,NC,Declined,6,Closed,Certification Course Training,FDC/Jail - Administration,51:29.4,51:29.4,VOL-4612
135,WA,Declined,248,Active,Square One: Essentials for Women,Unit Management (UM),51:29.4,51:29.4,VOL-1373
136,KY,Withdrawn,219,Active,Managing Your Diabetes,Psychology,51:29.4,51:29.4,VOL-5952
137,OK,Accepted,192,Active,Resilience Support,Recreation,51:29.4,51:29.4,VOL-1094
138,SC,Declined,212,Closed,Life Connections Program,Administration,51:29.4,51:29.4,VOL-3984
139,MO,Accepted,141,Active,Certification Course Training,Psychology,51:29.4,51:29.4,VOL-9941
140,AR,Under Review,34,Active,Alcoholics Anonymous (AA) Support Group,Camp,51:29.4,51:29.4,VOL-5693
141,SD,Accepted,86,Closed,English-As-a-Second Language,Food Services,51:29.4,51:29.4,VOL-3218
142,MD,Withdrawn,102,Active,Life Connections Program,Education,51:29.4,51:29.4,VOL-282
143,WA,Declined,106,Closed,Square One: Essentials for Women,Psychology,51:29.4,51:29.4,VOL-3962
144,ME,Accepted,184,Active,Brain Health as You Age: You Can Make a Difference!,Financial Management,51:29.4,51:29.4,VOL-2246
145,WY,Submitted,103,Closed,Embracing Interfaith Cooperation,Administration,51:29.4,51:29.4,VOL-5192
146,WA,Declined,100,Closed,Life Connections Program,Financial Management,51:29.4,51:29.4,VOL-149
147,MI,Under Review,276,Active,Certification Course Training,Unit Management (UM),51:29.4,51:29.4,VOL-1225
148,PA,Declined,253,Closed,Resilience Support,Food Services,51:29.4,51:29.4,VOL-2384
149,OR,Declined,299,Active,English-As-a-Second Language,Education,51:29.4,51:29.4,VOL-2921
150,OK,Withdrawn,252,Active,Getting to Know your Healthy Aging Body,Religious Services,51:29.4,51:29.4,VOL-8108
151,KY,Withdrawn,91,Active,Living a Healthy Life with Chronic Conditions,Unit Management (UM),51:29.4,51:29.4,VOL-6938
152,PA,Under Review,3,Active,Living a Healthy Life with Chronic Conditions,Administration,51:29.4,51:29.4,VOL-3874
153,KY,Submitted,36,Closed,Brain Health as You Age: You Can Make a Difference!,FDC/Jail - Administration,51:29.4,51:29.4,VOL-8071
154,SD,Declined,47,Closed,Brain Health as You Age: You Can Make a Difference!,Administration,51:29.4,51:29.4,VOL-5154
155,OR,Declined,162,Active,Alcoholics Anonymous (AA) Support Group,FDC/Jail - Administration,51:29.4,51:29.4,VOL-8027
156,AK,Withdrawn,39,Active,AARP Foundation Finances 50+,Unit Management (UM),51:29.4,51:29.4,VOL-8342
157,MD,Declined,226,Closed,House of Healing: A Prisoner's Guide to Inner Power and Freedom,Unit Management (UM),51:29.4,51:29.4,VOL-9397
158,MI,Withdrawn,196,Active,Apprenticeship Training,FDC/Jail - Administration,51:29.4,51:29.4,VOL-8085
159,SD,Accepted,163,Closed,Alcoholics Anonymous (AA) Support Group,Education,51:29.4,51:29.4,VOL-8765
160,VA,Accepted,199,Closed,Embracing Interfaith Cooperation,Unit Management (UM),51:29.4,51:29.4,VOL-2095
161,MI,Under Review,298,Active,Hooked on Phonics,Camp,51:29.4,51:29.4,VOL-669
162,FL,Accepted,11,Active,Hooked on Phonics,Recreation,51:29.4,51:29.4,VOL-6847
163,NM,Under Review,281,Active,Vocational Training,Unit Management (UM),51:29.4,51:29.4,VOL-8247
164,AZ,Accepted,13,Closed,Getting to Know your Healthy Aging Body,Food Services,51:29.4,51:29.4,VOL-3884
165,ME,Submitted,189,Closed,Hooked on Phonics,Financial Management,51:29.4,51:29.4,VOL-4163
166,IL,Withdrawn,258,Closed,Money Smart for Adults,Administration,51:29.4,51:29.4,VOL-8729
167,WV,Declined,180,Closed,Life Connections Program,Administration,51:29.4,51:29.4,VOL-493
168,TX,Under Review,247,Active,Embracing Interfaith Cooperation,Administration,51:29.4,51:29.4,VOL-6859
169,NH,Declined,135,Active,K2 Awareness Program,Camp,51:29.4,51:29.4,VOL-1102
170,NC,Declined,19,Closed,Narcotics Anonymous,FDC/Jail - Administration,51:29.4,51:29.4,VOL-3689
171,ID,Declined,37,Closed,English-As-a-Second Language,Camp,51:29.4,51:29.4,VOL-8378
172,NJ,Declined,123,Active,Start Now,Religious Services,51:29.4,51:29.4,VOL-8215
173,VA,Accepted,116,Active,English-As-a-Second Language,Recreation,51:29.4,51:29.4,VOL-5551
174,AK,Under Review,44,Closed,English-As-a-Second Language,Religious Services,51:29.4,51:29.4,VOL-4904
175,AK,Under Review,233,Closed,Certification Course Training,Religious Services,51:29.4,51:29.4,VOL-833
176,AZ,Under Review,56,Active,Apprenticeship Training,Unit Management (UM),51:29.4,51:29.4,VOL-9842
177,FL,Submitted,31,Active,Start Now,Food Services,51:29.4,51:29.4,VOL-2896
178,KS,Under Review,98,Closed,Living a Healthy Life with Chronic Conditions,Recreation,51:29.4,51:29.4,VOL-707
179,PA,Accepted,187,Active,Managing Your Diabetes,Religious Services,51:29.4,51:29.4,VOL-3768
180,AK,Accepted,292,Closed,Arthritis Foundation Walk with Ease,Financial Management,51:29.4,51:29.4,VOL-1447
181,IL,Accepted,52,Active,Arthritis Foundation Walk with Ease,Recreation,51:29.4,51:29.4,VOL-5170
182,GA,Withdrawn,49,Active,Narcotics Anonymous,Camp,51:29.4,51:29.4,VOL-9736
183,NH,Under Review,223,Closed,Money Smart for Older Adults,Religious Services,51:29.4,51:29.4,VOL-9935
184,AK,Declined,64,Active,Health and Wellness Throughout the Lifespan,Recreation,51:29.4,51:29.4,VOL-3200
185,CT,Submitted,1,Closed,National Parenting from Prison Program,Recreation,51:29.4,51:29.4,VOL-6102
186,MI,Withdrawn,224,Active,Life Connections Program,Financial Management,51:29.4,51:29.4,VOL-2650
187,VT,Withdrawn,20,Active,Soldier On,Religious Services,51:29.4,51:29.4,VOL-2787
188,DC,Under Review,6,Active,Soldier On,Food Services,51:29.4,51:29.4,VOL-6319
189,WI,Accepted,163,Active,Start Now,Health Services,51:29.4,51:29.4,VOL-1146
190,NM,Submitted,135,Closed,Getting to Know your Healthy Aging Body,Food Services,51:29.4,51:29.4,VOL-3786
191,CA,Withdrawn,64,Closed,Threshold Program,Recreation,51:29.4,51:29.4,VOL-6303
192,KS,Under Review,124,Closed,Certification Course Training,FDC/Jail - Administration,51:29.4,51:29.4,VOL-2400
193,WV,Accepted,103,Closed,Soldier On,Recreation,51:29.4,51:29.4,VOL-8561
194,MO,Submitted,146,Closed,Money Smart for Adults,Health Services,51:29.4,51:29.4,VOL-8685
195,MT,Withdrawn,213,Closed,National Parenting from Prison Program,Health Services,51:29.4,51:29.4,VOL-8356
196,ID,Withdrawn,299,Active,Arthritis Foundation Walk with Ease,Psychology,51:29.4,51:29.4,VOL-492
197,DE,Withdrawn,27,Active,Embracing Interfaith Cooperation,Camp,51:29.4,51:29.4,VOL-6280
198,CO,Declined,220,Closed,Managing Your Diabetes,Education,51:29.4,51:29.4,VOL-576
199,NM,Declined,95,Active,Start Now,Unit Management (UM),51:29.4,51:29.4,VOL-425
